epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.22941,2.22181,2.62626,1.33549,0.98679,0.20107,0.44942,0.18805,1.87188,2.68001,1.16219,0.00043342,0.00043342,0.00043342
2,15.5128,1.90676,1.23771,1.19845,0.79606,0.4154,0.65613,0.29163,1.87697,2.12412,1.21349,0.000854354,0.000854354,0.000854354
3,22.7891,1.83564,1.11787,1.18639,0.73901,0.76394,0.77876,0.35346,1.82426,1.35248,1.22367,0.00124558,0.00124558,0.00124558
4,30.1157,1.81375,1.08126,1.16604,0.64761,0.71898,0.68834,0.2935,1.9271,1.35497,1.22129,0.00150197,0.00150197,0.00150197
5,37.6116,1.74393,0.96434,1.13539,0.6375,0.72464,0.66483,0.30835,1.8674,1.21537,1.20345,0.00144696,0.00144696,0.00144696
6,44.9334,1.67318,0.92119,1.11751,0.70898,0.77116,0.74202,0.32777,1.94568,1.14012,1.25075,0.00139195,0.00139195,0.00139195
7,52.3081,1.69448,0.92116,1.12932,0.80085,0.78453,0.81953,0.40074,1.65224,0.99284,1.11477,0.00133693,0.00133693,0.00133693
8,59.7259,1.67611,0.91577,1.12649,0.59016,0.68984,0.6617,0.26488,2.08323,1.08601,1.29949,0.00128192,0.00128192,0.00128192
9,67.0497,1.67103,0.88267,1.13761,0.73473,0.83684,0.8304,0.43148,1.61564,0.94878,1.12765,0.00122691,0.00122691,0.00122691
10,74.4231,1.65211,0.85556,1.10766,0.81221,0.79023,0.83918,0.42028,1.76933,0.89936,1.16988,0.0011719,0.0011719,0.0011719
11,81.7566,1.63484,0.84733,1.10688,0.82151,0.84409,0.86661,0.44038,1.6936,0.88196,1.13901,0.00111689,0.00111689,0.00111689
12,89.1166,1.60558,0.83986,1.10471,0.84837,0.86186,0.88814,0.4836,1.53069,0.81144,1.11218,0.00106188,0.00106188,0.00106188
13,96.4376,1.59142,0.8207,1.09721,0.82468,0.83792,0.86665,0.46297,1.57399,0.81538,1.11597,0.00100687,0.00100687,0.00100687
14,103.657,1.57921,0.80095,1.09062,0.84329,0.85337,0.88942,0.47675,1.57046,0.79211,1.11376,0.000951857,0.000951857,0.000951857
15,110.916,1.57041,0.79031,1.1034,0.85552,0.86653,0.88625,0.47546,1.54489,0.79444,1.08298,0.000896846,0.000896846,0.000896846
16,118.57,1.55835,0.78875,1.08274,0.85007,0.86133,0.88387,0.48662,1.51515,0.80689,1.09584,0.000841835,0.000841835,0.000841835
17,127.529,1.56629,0.77685,1.08154,0.87565,0.8746,0.89402,0.48401,1.54717,0.76222,1.10465,0.000786824,0.000786824,0.000786824
18,136.881,1.54088,0.76319,1.07259,0.86444,0.86061,0.89789,0.50906,1.46202,0.74382,1.07036,0.000731813,0.000731813,0.000731813
19,146.224,1.524,0.75479,1.07594,0.87532,0.88173,0.90804,0.52275,1.44198,0.71862,1.06294,0.000676802,0.000676802,0.000676802
20,155.316,1.48223,0.72901,1.05258,0.86441,0.8758,0.90681,0.53068,1.42051,0.7042,1.05476,0.000621791,0.000621791,0.000621791
21,178.278,1.46442,0.76246,1.08681,0.85708,0.86392,0.89384,0.51315,1.44515,0.73128,1.06387,0.00056678,0.00056678,0.00056678
22,185.058,1.45538,0.73872,1.06841,0.87915,0.88492,0.91634,0.53481,1.39482,0.70191,1.04434,0.000511769,0.000511769,0.000511769
23,191.665,1.45149,0.72538,1.07423,0.86799,0.85689,0.89164,0.51305,1.41897,0.72809,1.06064,0.000456758,0.000456758,0.000456758
24,198.202,1.42209,0.71228,1.06286,0.87647,0.87198,0.90995,0.52476,1.45219,0.69912,1.06379,0.000401747,0.000401747,0.000401747
25,204.756,1.41875,0.70077,1.05638,0.86398,0.87061,0.89989,0.53158,1.39891,0.70704,1.04539,0.000346736,0.000346736,0.000346736
26,211.294,1.39584,0.69193,1.05687,0.88002,0.88944,0.9182,0.54566,1.38307,0.67665,1.04314,0.000291725,0.000291725,0.000291725
27,217.812,1.36732,0.68568,1.05349,0.88143,0.88528,0.91696,0.54145,1.40051,0.67826,1.04752,0.000236714,0.000236714,0.000236714
28,224.435,1.39165,0.6814,1.05534,0.8771,0.88238,0.90867,0.54148,1.38073,0.67398,1.04202,0.000181703,0.000181703,0.000181703
29,231.769,1.36522,0.66829,1.04486,0.88487,0.88917,0.91953,0.55237,1.36066,0.66099,1.03524,0.000126692,0.000126692,0.000126692
30,239.799,1.36785,0.66561,1.04352,0.88292,0.88514,0.91676,0.54937,1.3703,0.66558,1.03788,7.1681e-05,7.1681e-05,7.1681e-05
