epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.8883,1.97368,2.08696,1.25583,0.6236,0.45021,0.49762,0.23155,1.76877,1.96285,1.30567,0.000551291,0.000551291,0.000551291
2,43.6004,1.838,1.4378,1.20066,0.66091,0.60718,0.65468,0.3176,1.72814,1.53087,1.29956,0.00107043,0.00107043,0.00107043
3,63.9478,1.82461,1.35759,1.2082,0.67518,0.63412,0.67434,0.32628,1.70592,1.2992,1.27966,0.00155289,0.00155289,0.00155289
4,85.844,1.82119,1.24137,1.21144,0.73382,0.60828,0.67705,0.32631,1.71282,1.31438,1.29734,0.00150197,0.00150197,0.00150197
5,107.569,1.76074,1.16879,1.19503,0.76263,0.64856,0.72833,0.35844,1.69673,1.21948,1.2868,0.00144696,0.00144696,0.00144696
6,127.54,1.70256,1.08155,1.14648,0.77603,0.69183,0.76082,0.38099,1.63495,1.13248,1.2643,0.00139195,0.00139195,0.00139195
7,147.585,1.68745,1.06431,1.1534,0.75375,0.70533,0.75943,0.39466,1.60862,1.07182,1.23395,0.00133693,0.00133693,0.00133693
8,167.715,1.64508,1.03715,1.12363,0.73788,0.64911,0.72024,0.35115,1.67111,1.17853,1.29116,0.00128192,0.00128192,0.00128192
9,187.766,1.6471,0.99991,1.13451,0.74597,0.70816,0.75594,0.38147,1.58385,1.09895,1.22613,0.00122691,0.00122691,0.00122691
10,209.27,1.6242,0.97367,1.12288,0.80083,0.71186,0.78745,0.40805,1.57773,0.98394,1.22569,0.0011719,0.0011719,0.0011719
11,233.307,1.59798,0.97124,1.11714,0.86431,0.73681,0.8293,0.45393,1.54793,0.91331,1.22866,0.00111689,0.00111689,0.00111689
12,256.951,1.59261,0.93749,1.10732,0.79893,0.77499,0.83044,0.44534,1.5436,0.93551,1.21198,0.00106188,0.00106188,0.00106188
13,281.439,1.58888,0.92525,1.10316,0.80543,0.76619,0.82602,0.44891,1.52071,0.92077,1.199,0.00100687,0.00100687,0.00100687
14,305.241,1.54345,0.87068,1.08864,0.81383,0.77969,0.8367,0.45265,1.51092,0.86368,1.19671,0.000951857,0.000951857,0.000951857
15,329.157,1.51851,0.87024,1.0907,0.8405,0.75782,0.8258,0.47005,1.47254,0.88705,1.18978,0.000896846,0.000896846,0.000896846
16,353.337,1.55042,0.8826,1.11906,0.82881,0.75529,0.83754,0.45351,1.51402,0.91112,1.19227,0.000841835,0.000841835,0.000841835
17,374.766,1.49411,0.82411,1.06648,0.81956,0.80918,0.85497,0.48732,1.4436,0.84741,1.18255,0.000786824,0.000786824,0.000786824
18,397.593,1.4793,0.8234,1.07245,0.8537,0.79361,0.87536,0.49585,1.44412,0.8208,1.16044,0.000731813,0.000731813,0.000731813
19,420.146,1.47978,0.80916,1.06742,0.83748,0.81841,0.87448,0.49805,1.43638,0.80573,1.1685,0.000676802,0.000676802,0.000676802
20,443.355,1.44871,0.78643,1.05398,0.85441,0.79155,0.85605,0.48319,1.47051,0.8061,1.17823,0.000621791,0.000621791,0.000621791
21,484.54,1.41347,0.76542,1.06869,0.84272,0.77922,0.85248,0.47764,1.45859,0.83817,1.16139,0.00056678,0.00056678,0.00056678
22,505.745,1.40742,0.76934,1.05726,0.87274,0.79898,0.86716,0.49182,1.43729,0.79973,1.17289,0.000511769,0.000511769,0.000511769
23,527.101,1.39658,0.7603,1.06025,0.87344,0.81302,0.88418,0.51124,1.38953,0.78154,1.1573,0.000456758,0.000456758,0.000456758
24,549.019,1.36207,0.71924,1.04609,0.84395,0.81657,0.87935,0.51409,1.40884,0.75924,1.15811,0.000401747,0.000401747,0.000401747
25,569.122,1.36698,0.71402,1.04945,0.85722,0.84502,0.89258,0.52944,1.36602,0.74137,1.14342,0.000346736,0.000346736,0.000346736
26,589.946,1.33298,0.72163,1.0429,0.88445,0.83258,0.89265,0.53124,1.35323,0.73314,1.14703,0.000291725,0.000291725,0.000291725
27,610.376,1.32249,0.68273,1.02967,0.90409,0.81311,0.89066,0.53167,1.36771,0.74218,1.158,0.000236714,0.000236714,0.000236714
28,631.341,1.29631,0.66903,1.02651,0.88267,0.82585,0.89874,0.54471,1.33095,0.71849,1.14058,0.000181703,0.000181703,0.000181703
29,651.894,1.27416,0.65832,1.01585,0.87872,0.83482,0.89581,0.54782,1.30887,0.70404,1.13885,0.000126692,0.000126692,0.000126692
30,672.071,1.27017,0.65714,1.01387,0.91443,0.81122,0.90169,0.54564,1.33499,0.71174,1.14776,7.1681e-05,7.1681e-05,7.1681e-05
