epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.00646,2.19805,3.57047,1.37288,0.05839,0.5,0.05709,0.02821,1.62302,3.42137,1.12922,0.00012,0.00012,0.00012
2,4.69985,1.99371,2.65824,1.15384,0.09897,0.84744,0.252,0.09494,1.87575,2.98579,1.13608,0.000254852,0.000254852,0.000254852
3,6.27304,1.91748,1.52588,1.12605,0.775,0.65091,0.66145,0.29,1.7222,2.57888,1.10875,0.00038416,0.00038416,0.00038416
4,8.10945,1.80367,1.30148,1.10507,0.77401,0.43149,0.66255,0.29114,1.71483,2.20693,1.08084,0.000507924,0.000507924,0.000507924
5,9.66914,1.74163,1.25108,1.11689,0.84994,0.51476,0.7482,0.36372,1.65019,1.90653,1.1021,0.000626144,0.000626144,0.000626144
6,11.2264,1.72848,1.19922,1.10174,0.7656,0.65256,0.73802,0.38729,1.53046,1.69355,1.08396,0.00073882,0.00073882,0.00073882
7,12.9562,1.67056,1.19485,1.12319,0.77941,0.60138,0.72812,0.3849,1.46813,1.77923,1.07436,0.000845952,0.000845952,0.000845952
8,14.4666,1.61521,1.09364,1.08077,0.75522,0.64961,0.75534,0.3962,1.47812,1.62721,1.05855,0.00094754,0.00094754,0.00094754
9,16.2111,1.63742,1.08132,1.08626,0.7589,0.70571,0.78351,0.42138,1.44715,1.44989,1.05431,0.00104358,0.00104358,0.00104358
10,17.8633,1.56686,1.03673,1.07435,0.66816,0.66391,0.70119,0.36633,1.45268,1.40351,1.09403,0.00113408,0.00113408,0.00113408
11,19.4901,1.57607,1.0551,1.08812,0.69045,0.69374,0.71246,0.35861,1.59524,1.35088,1.12246,0.00121904,0.00121904,0.00121904
12,21.0053,1.66143,1.04329,1.08125,0.7715,0.74016,0.81914,0.44473,1.4307,1.35056,1.05466,0.00129845,0.00129845,0.00129845
13,22.5062,1.58354,1.01966,1.06474,0.75944,0.7313,0.79037,0.41669,1.40903,1.38289,1.05782,0.00137232,0.00137232,0.00137232
14,24.068,1.62289,1.02235,1.07692,0.77197,0.76639,0.82669,0.46149,1.38095,1.34789,1.03885,0.00144064,0.00144064,0.00144064
15,25.7161,1.65925,1.0353,1.10586,0.78588,0.7687,0.8317,0.46835,1.39331,1.34331,1.03385,0.0014456,0.0014456,0.0014456
16,27.2453,1.53921,0.98763,1.07256,0.79895,0.77362,0.81942,0.44927,1.40383,1.32755,1.04407,0.001406,0.001406,0.001406
17,28.8703,1.54173,0.94501,1.0557,0.80565,0.79153,0.85181,0.50276,1.32471,1.1973,1.02581,0.0013664,0.0013664,0.0013664
18,30.4254,1.50547,0.97825,1.05739,0.79664,0.74409,0.82023,0.46284,1.42432,1.2334,1.03857,0.0013268,0.0013268,0.0013268
19,31.98,1.60697,0.97937,1.06329,0.7958,0.74414,0.81672,0.46697,1.42338,1.17006,1.049,0.0012872,0.0012872,0.0012872
20,33.5426,1.54106,0.95057,1.0607,0.81405,0.8002,0.8643,0.49619,1.41003,0.98124,1.04988,0.0012476,0.0012476,0.0012476
